attributeName,code,definition
neigh_social_class_poor,FALSE,FALSE
neigh_social_class_poor,TRUE,TRUE
neigh_social_class_rich,FALSE,FALSE
neigh_social_class_rich,TRUE,TRUE
neigh_social_class_upper_middle,FALSE,FALSE
neigh_social_class_upper_middle,TRUE,TRUE
neigh_social_class_working_lower,FALSE,FALSE
neigh_social_class_working_lower,TRUE,TRUE
neigh_buildings_residential,FALSE,FALSE
neigh_buildings_residential,TRUE,TRUE
neigh_buildings_commercial,FALSE,FALSE
neigh_buildings_commercial,TRUE,TRUE
neigh_buildings_institutional,FALSE,FALSE
neigh_buildings_institutional,TRUE,TRUE
neigh_buildings_industrial,FALSE,FALSE
neigh_buildings_industrial,TRUE,TRUE
neigh_residence_apartments,FALSE,FALSE
neigh_residence_apartments,TRUE,TRUE
neigh_residence_multi_family,FALSE,FALSE
neigh_residence_multi_family,TRUE,TRUE
neigh_residence_single_family,FALSE,FALSE
neigh_residence_single_family,TRUE,TRUE
neigh_irrigation_drip_trickle,FALSE,FALSE
neigh_irrigation_drip_trickle,TRUE,TRUE
neigh_irrigation_flood_hand,FALSE,FALSE
neigh_irrigation_flood_hand,TRUE,TRUE
neigh_irrigation_overhead_spray,FALSE,FALSE
neigh_irrigation_overhead_spray,TRUE,TRUE
neigh_yard_upkeep_good,FALSE,FALSE
neigh_yard_upkeep_good,TRUE,TRUE
neigh_yard_upkeep_poor,FALSE,FALSE
neigh_yard_upkeep_poor,TRUE,TRUE
neigh_yard_upkeep_professionally_maintained,FALSE,FALSE
neigh_yard_upkeep_professionally_maintained,TRUE,TRUE
neigh_landscape_mesic,FALSE,FALSE
neigh_landscape_mesic,TRUE,TRUE
neigh_landscape_mixed,FALSE,FALSE
neigh_landscape_mixed,TRUE,TRUE
neigh_landscape_xeric,FALSE,FALSE
neigh_landscape_xeric,TRUE,TRUE
neigh_landscape_turf_present,FALSE,FALSE
neigh_landscape_turf_present,TRUE,TRUE
neigh_traffic_collector_street,FALSE,FALSE
neigh_traffic_collector_street,TRUE,TRUE
neigh_traffic_cul_de_sac,FALSE,FALSE
neigh_traffic_cul_de_sac,TRUE,TRUE
neigh_traffic_dirt_road,FALSE,FALSE
neigh_traffic_dirt_road,TRUE,TRUE
neigh_traffic_freeway_expressway,FALSE,FALSE
neigh_traffic_freeway_expressway,TRUE,TRUE
neigh_traffic_highway,FALSE,FALSE
neigh_traffic_major_city_road,FALSE,FALSE
neigh_traffic_major_city_road,TRUE,TRUE
neigh_traffic_none,FALSE,FALSE
neigh_traffic_none,TRUE,TRUE
neigh_traffic_paved_local_street,FALSE,FALSE
neigh_traffic_paved_local_street,TRUE,TRUE
