vegetation_taxon_id,new_annual_taxon,taxon_edit,taxa_db_id,authority
NA,Sporobilus,Sporobolus,2704744,GBIF
NA,Sporobolus,Sporobolus,2704744,GBIF
NA,Physaria terella,Physaria tenella,3049216,GBIF
NA,Logfia arizonica,Logfia arizonica,3088931,GBIF
NA,Cryptantha circumcissa,Greeneocharis circumscissa,6395219,GBIF
NA,Loggia arizonica,Logfia arizonica,3088931,GBIF
NA,Physaria tenella,Physaria tenella,3049216,GBIF
NA,Tomostina cuneifolia,Tomostima cuneifolia,10732597,GBIF
NA,Lasthenia,Lasthenia,3144225,GBIF
NA,Linanthus dichotomus,Linanthus dichotomus,2927917,GBIF
NA,Bouteloua aristidoides,Bouteloua aristidoides,5289860,GBIF
NA,Selaginella,Selaginella,2688177,GBIF
NA,Onagraceae,Onagraceae,2430,GBIF
NA,Centaurs melitensis,Centaurea melitensis,3128091,GBIF
NA,Camisonia confusa,Camissonia confusa,3666665,GBIF
NA,Nyctaginaceae,Nyctaginaceae,6718,GBIF
NA,Tagetes,Tagetes,3088468,GBIF
NA,Coleus scuttelariodes,Coleus scutellarioides,5341492,GBIF
NA,Kalanchoe,Kalanchoe,2985928,GBIF
NA,Polemoniaceae,Polemoniaceae,6648,GBIF
NA,Loggia arizoica,Logfia arizonica,3088931,GBIF
NA,Aristida ternipes,Aristida ternipes,2706251,GBIF
NA,Ayenia,Ayenia,3152178,GBIF
NA,Descurania sophia,Descurainia sophia,3044318,GBIF
NA,Cenchrus ciliaris,Cenchrus ciliaris,4109540,GBIF
NA,Fragaria,Fragaria,3029779,GBIF
NA,Veronica,Veronica,3172047,GBIF
NA,Paspalum dilatatum,Paspalum dilatatum,2705565,GBIF
NA,Dataram discolor,Datura discolor,2928735,GBIF
NA,Euphoria opthalmica,Euphorbia ophthalmica,3066953,GBIF
NA,Bouteloua,Bouteloua,7557664,GBIF
NA,Phalaris,Phalaris,2703277,GBIF
NA,Heliotropium curassavicum,Heliotropium curassavicum,2925786,GBIF
NA,Erigeron divergens,Erigeron divergens,8046603,GBIF
NA,Erigeron canadensis,Erigeron canadensis,3146791,GBIF
NA,Euphorbia maculata,Euphorbia maculata,3067119,GBIF
NA,Neptunia,Neptunia,7599660,GBIF
NA,Erigeron bonarensis,Erigeron bonariensis,3146717,GBIF
